scenario,variable,year,value_repro,value_paper,diff
3,WIPH,2019,0.77276848,0.68,0.09276848
3,WIPH,2020,0.95027344,0.81,0.14027344
3,XGS,2018,-0.00178927,0.0,-0.00178927
3,XGS,2019,-0.0226462,-0.01,-0.0126462
3,XGS,2020,-0.07535771,-0.04,-0.03535771
3,XGSV,2018,-0.02064951,-0.02,-0.00064951
3,XGSV,2019,-0.07666063,-0.1,0.02333937
3,XGSV,2020,-0.14004868,-0.23,0.08995132
3,YCV,2018,3.55135122,3.64,-0.08864878
3,YCV,2019,2.75775855,2.74,0.01775855
3,YCV,2020,1.98221916,2.2,-0.21778084
3,YDV,2018,0.96644952,0.93,0.03644952
3,YDV,2019,1.21094684,1.19,0.02094684
3,YDV,2020,1.25922957,1.22,0.03922957
3,YWV,2018,0.97565135,1.0,-0.02434865
3,YWV,2019,1.12110844,1.15,-0.02889156
3,YWV,2020,1.18228608,1.18,0.00228608
4,BCVATGDPV,2018,-0.13386349,-0.13,-0.00386349
4,BCVATGDPV,2019,-0.33601661,-0.32,-0.01601661
4,BCVATGDPV,2020,-0.45777468,-0.42,-0.03777468
4,BGVATGDPV,2018,-0.95195594,-0.96,0.00804406
4,BGVATGDPV,2019,-0.86119386,-0.89,0.02880614
4,BGVATGDPV,2020,-0.81025319,-0.86,0.04974681
4,CG,2018,-0.0,0.0,-0.0
4,CG,2019,0.0,0.0,0.0
4,CG,2020,-0.0,0.0,-0.0
4,CGPI,2018,0.00055829,0.0,0.00055829
4,CGPI,2019,0.03398615,0.04,-0.00601385
4,CGPI,2020,0.10492373,0.1,0.00492373
4,CGV,2018,0.00021961,0.0,0.00021961
4,CGV,2019,0.0222894,0.02,0.0022894
4,CGV,2020,0.08901218,0.08,0.00901218
4,CP,2018,0.57616039,0.58,-0.00383961
4,CP,2019,1.11322506,1.12,-0.00677494
4,CP,2020,1.20441333,1.2,0.00441333
4,CPV,2018,0.57746163,0.58,-0.00253837
4,CPV,2019,1.15588982,1.16,-0.00411018
4,CPV,2020,1.33552981,1.33,0.00552981
4,CUX,2018,0.39973148,0.4,-0.00026852
4,CUX,2019,0.7201186,0.6,0.1201186
4,CUX,2020,0.90021978,0.59,0.31021978
4,FXS,2018,-0.00791273,-0.01,0.00208727
4,FXS,2019,-0.05482404,-0.05,-0.00482404
4,FXS,2020,-0.13183622,-0.12,-0.01183622
4,GDP,2018,0.21324783,0.21,0.00324783
4,GDP,2019,0.36823197,0.33,0.03823197
4,GDP,2020,0.41145335,0.32,0.09145335
4,GDPD,2018,0.30670317,0.3,0.00670317
4,GDPD,2019,0.08331935,0.03,0.05331935
4,GDPD,2020,0.02059883,-0.03,0.05059883
4,GDPGAP,2018,0.1927144,0.19,0.0027144
4,GDPGAP,2019,0.32432758,0.3,0.02432758
